,title,rating,time,price,calories,sodium,fat,protein,carbs,personal_rating,ingredients,url
180,Blueberry Coffee Cake,4.5,55.0,37.93,350.0,220.0,15.0,4,49,"[['Michalina Gil', 5.0], ['Violet Aragon', 5.0], ['Rangan', 5.0], ['Gess', 1.0], ['Cheryl M.', 5.0]]","['nonstick cooking spray ', 'unsalted butter ', 'granulated sugar ', 'vanilla extract ', 'large eggs ', 'sour cream ', 'cake flour ', 'baking powder ', 'baking soda ', 'salt ', 'fresh blueberries ', 'all purpose flour ', 'light brown sugar ', 'granulated sugar ', 'cinnamon ', 'salt ', 'unsalted butter ']",https://www.yummly.com/recipe/Blueberry-Coffee-Cake-9115995
181,Sopapilla Cheesecake Bars,4.5,60.0,17.56,390.0,240.0,27.0,3,36,"[['Lynn Schouten', 5.0], ['Deborah Holland', 4.0], ['McFarland', 5.0], ['Sean Clifton', 5.0], ['Brandi Whitfield', 4.0]]","['refrigerated crescent roll dough ', 'cream cheese ', 'granulated sugar ', 'vanilla extract ', 'refrigerated crescent roll dough ', 'butter ', 'granulated sugar ', 'cinnamon ']",https://www.yummly.com/recipe/Sopapilla-Cheesecake-Bars-9085194
196,"Chicken, Bacon, and Pesto Potato Skins",3.5,115.0,21.4,350.0,480.0,21.0,16,24,"[['Matt G', 4.0], ['jason', 4.0], [""Renee' Melroy"", 5.0], ['Arielle Nunn', 5.0], ['KidChef', 1.0], ['Jeffrey Crouch', 4.0]]","['russet potatoes ', 'bacon ', 'nonstick cooking spray ', 'salt ', 'black pepper ', 'sour cream ', 'basil pesto ', 'salt ', 'black pepper ', 'cooked chicken ', 'shredded cheddar cheese ', 'shredded cheddar cheese ']",https://www.yummly.com/recipe/Chicken_-Bacon_-and-Pesto-Potato-Skins-9092199
197,Garlic-Butter Baked Chicken Breasts with Cheese,4.5,35.0,21.47,300.0,400.0,16.0,36,1,"[['pamela kent', 5.0], ['Juan Concepcion', 4.0], ['Leah Larson', 4.0], ['Crystal Jacox', 5.0], ['Lady', 4.0], ['Ivy Flores', 5.0], ['Melissa Fandrey', 5.0], ['Karleigh Sohnrey', 5.0], ['Stephon Schoonmaker', 4.0], ['Stan Jacobs', 5.0], ['Heather Comartin', 4.0], ['danielle', 5.0], ['Chris Bussanich', 5.0], ['Jen', 5.0], ['Amanda Lloyd', 5.0], ['My Princess', 5.0], ['Griff', 5.0], ['Ms. Rheine', 5.0]]","['nonstick cooking spray ', 'boneless skinless chicken breasts ', 'sea salt ', 'black pepper ', 'salted butter ', 'garlic ', 'Italian seasoning ', 'shredded cheese ']",https://www.yummly.com/recipe/Garlic-Butter-Baked-Chicken-Breasts-with-Cheese-9092202
198,Super Easy Banana Muffins,4.5,41.0,78.27,210.0,250.0,8.0,3,30,"[['Honey', 5.0], ['Nika', 5.0], ['Maysah Wilsenack', 5.0], ['Clay Berlo', 5.0], ['Connor', 5.0], ['Nancy Redfern', 5.0], ['andreea u.', 5.0], ['Sue Morgan', 5.0], ['Megan', 5.0], ['Mireilly Smith Adrover', 4.0], ['Deborah Holland', 4.0], ['wambui', 4.0], ['Kim Rious', 5.0], ['Marie Rose Mikhael', 5.0], ['Steven M.', 5.0], ['McArdle', 5.0], ['Nichelle Skarsgård', 5.0], ['Lily Villarreal', 5.0], ['Parisa Moradi', 5.0], ['Banfe', 5.0], ['Kenneth', 5.0], ['tanya t.', 5.0], ['Rodina Bryant', 5.0], ['Ode-el', 5.0], ['Berving', 5.0], ['Morgan Hudson', 5.0], ['Jennifer Tubbs', 5.0], ['Marcello De Wit', 5.0], ['Simon Due', 5.0], ['Dawn', 5.0]]","['large bananas ', 'canola oil ', 'granulated sugar ', 'light brown sugar ', 'vanilla extract ', 'large eggs ', 'allpurpose flour ', 'cinnamon ', 'baking powder ', 'baking soda ', 'salt ']",https://www.yummly.com/recipe/Super-Easy-Banana-Muffins-9029432
202,Easy Honey-Balsamic Asparagus,4.5,22.0,16.12,80.0,300.0,3.5,3,11,"[['Campbell', 5.0], ['Haro', 5.0], ['Benjamin J.', 4.0], ['Clare L.', 4.0], ['Patrick S.', 4.0], ['Vicky', 4.0], ['Lauren Renslow', 4.0], ['Kaur', 5.0], ['Colleen Helgason', 5.0], ['tre trigga', 5.0], ['Paul LoPresti', 5.0], ['Daniel', 5.0], ['R Davis', 4.0], ['Nicole Reitnauer', 4.0], ['Jellila K.', 5.0], ['Linnea Curtiss', 5.0], ['Vereen', 5.0], ['Friedrichsen', 5.0], ['Ruth Rangan', 5.0], ['Mary', 4.0], ['Paulina M.', 5.0], ['Donna T.', 5.0]]","['garlic ', 'asparagus ', 'olive oil ', 'salt ', 'black pepper ', 'balsamic vinegar ', 'honey ']",https://www.yummly.com/recipe/Easy-Honey-Balsamic-Asparagus-9029420
213,Easy Korean Sticky Chicken,4.5,20.0,28.77,370.0,650.0,19.0,35,12,"[['Big Potato Jo', 5.0], ['Peek', 4.0], ['Kian', 5.0], ['Rosemary McDowney', 5.0], ['Julia Lukowsky', 5.0], ['Esther Faith Porras', 4.0], ['Portalatin-Walker', 4.0], ['Stephanie L.', 4.0], ['Abigail Ouellette', 5.0], ['Kate B.', 5.0], ['M Grant', 5.0], ['Lakia Poole', 5.0], ['Jess', 4.0], ['Emelie Fredholm', 5.0], ['Rebecca', 5.0], ['Jason D.', 5.0], ['Reynolds', 5.0], ['KB', 5.0], ['Jackie Nesnow-Bucholtz', 5.0], ['Evan Fix', 5.0], ['Jayne Matthews Misap', 5.0], ['Michelle', 5.0], ['Ti', 4.0], ['YumChef', 5.0], ['Brad J.', 4.0], ['Brittany Olinek', 5.0], ['D', 5.0], ['Bris', 3.0], ['Kallysta Wilkerson', 5.0], ['Iopa Wolman', 5.0]]","['green onions ', 'boneless skinless chicken thighs ', 'salt ', 'cornstarch ', 'water ', 'fresh ginger ', 'garlic ', 'gochujang ', 'mirin ', 'honey ', 'toasted sesame oil ', 'seasoned rice vinegar ', 'vegetable oil ', 'toasted sesame seeds ']",https://www.yummly.com/recipe/Easy-Korean-Sticky-Chicken-9101934
215,Awesome Bacon And Potato Egg Casserole,4.5,55.0,11.79,350.0,700.0,25.0,15,16,"[['Dom', 3.0], ['Hi Jeff And Deon', 5.0], ['Davey', 4.0], ['Nolan', 5.0], ['Sara B.', 3.0], ['Falon Richards', 5.0], ['jacob dolin', 5.0], ['Dudley Bourgeois', 3.0], ['Deb', 4.0], ['Melinda Fancsal', 5.0], ['Kerry Markley', 4.0], ['Mrs. Dee', 4.0], ['Beth Reece', 5.0], ['Ann Burch', 5.0], ['Raquel A.', 4.0], ['Isabella', 5.0], ['Kelly', 4.0]]","['bacon ', 'frozen hash brown potatoes ', 'eggs ', 'whole milk ', 'salt ', 'black pepper ', 'shredded cheddar cheese ']",https://www.yummly.com/recipe/Awesome-Bacon-And-Potato-Egg-Casserole-9029554
219,Roasted Chickpeas,4.5,35.0,10.24,140.0,750.0,3.5,5,23,"[['Nalini Sanjith', 4.0], ['Veronica Allende', 5.0], ['Kent Webber', 4.0], ['David Jackson', 4.0], ['Robert Kelly', 3.0], ['Emma Gendall', 3.0], ['Brittani Lee', 5.0], ['Lisa Ritchel', 5.0], ['Elijah Ruby', 4.0], ['Nathan Berry', 4.0], ['Jamie Addy-Houser', 3.0], ['Anneli', 5.0], ['April', 5.0], ['C.', 5.0], ['Sarah', 5.0], ['Sarah Grimm', 3.0], ['Kayla Moses', 5.0], ['Marlene Evans', 4.0], ['cocinera', 5.0], ['Nicole Bergstedt', 5.0], ['du Toit', 5.0], ['Ailbhe Kelly', 3.0], ['amee', 5.0], ['Mia', 5.0], ['marixa gonzalez', 5.0], ['Mitsuriya', 5.0], ['Barbara Miller', 5.0], ['Katelyn', 5.0], ['Maddy', 3.0], ['mark simpson', 4.0]]","['chickpeas ', 'olive oil ', 'kosher salt ', 'smoked paprika ', 'garlic powder ']",https://www.yummly.com/recipe/Roasted-Chickpeas-2528816
221,Vegan Baked Ziti,4.5,75.0,34.57,360.0,610.0,10.0,17,53,"[['Avni Desai', 5.0], ['Héloïse Vandekerckhove', 5.0], ['Michelle Rodgers', 4.0], ['LaShunda', 4.0], ['Ann S.', 5.0], ['Cameron Fontenot', 5.0]]","['ziti ', 'firm tofu ', 'olive oil ', 'lemon ', 'nutritional yeast ', 'salt ', 'black pepper ', 'garlic powder ', 'Italian seasoning ', 'marinara sauce ', 'vegan Parmesan cheese ']",https://www.yummly.com/recipe/Vegan-Baked-Ziti-2684090
223,Restaurant-Style Loaded Chicken Nachos,4.5,21.0,42.43,990.0,810.0,51.0,46,89,"[['Quinn Nutter', 4.0], ['Robert K.', 5.0], ['efan-rhys Mottershead', 5.0], ['Bridget Garcia', 4.0], ['Roberto Preble', 5.0], ['Kiara', 5.0], ['Michael Floyd', 5.0], ['Joshua Bibbee', 5.0], ['Sahm', 5.0], ['Lenka Copus', 5.0], ['Uma S. Devireddy', 5.0], ['Manthey', 5.0], ['lodi h.', 5.0], ['Bredlau', 5.0], ['Kathy Kay', 5.0], ['Shantel Woodberry', 4.0], ['Michele', 5.0], ['Grice', 5.0], ['Sarah Jane', 5.0], ['James Simonetti', 3.0], ['Kathleen Joyner', 5.0], ['Mel', 5.0], ['rezist la victoriei', 5.0], ['Parks', 5.0], ['Bustamante', 3.0], ['Isabel Q.', 4.0], ['Julia L.', 5.0], ['Ann R.', 5.0]]","['ground chicken ', 'olive oil ', 'chili powder ', 'cumin ', 'coriander ', 'garlic powder ', 'dried oregano ', 'salt ', 'black pepper ', 'black beans ', 'corn tortilla chips ', 'shredded Mexican cheese blend ', 'tomatoes ', 'red onion ', 'jalapeno chilies ', 'cilantro leaves ', 'avocado ', 'sliced black olives ', 'lime ', 'sour cream ']",https://www.yummly.com/recipe/Restaurant-Style-Loaded-Chicken-Nachos-9029506
229,Gluten-Free Baked Chicken Tenders,5.0,50.0,14.97,490.0,650.0,20.0,23,56,"[['Kenya Blandin', 5.0], ['Justin Henninge', 5.0], ['Cassandra Cannon-Davis', 5.0], ['Veronica Mounts', 5.0], ['KB', 5.0]]","['chicken breast tenderloins ', 'salt ', 'black pepper ', 'gluten free all purpose flour ', 'egg ', 'Corn Flakes Cereal ', 'salt ', 'canola oil cooking spray ']",https://www.yummly.com/recipe/Gluten-Free-Baked-Chicken-Tenders-9073117
230,Easy Baked Sweet Potato Fries ,4.5,30.0,3.46,130.0,360.0,3.5,3,24,"[['Victoria Hearne', 4.0], ['Stacey Trone', 5.0], ['Jeanie May-Sztukowski', 5.0], ['Mom', 4.0], ['Myers', 4.0], ['Pam Parrott', 3.0], ['Mickey Brasure', 4.0], ['Beatriz Parra', 5.0], ['Nathalie Green', 4.0], ['Ward', 5.0], ['Natalia', 5.0], ['Bob', 4.0], ['Lotus Blossom GaiaHecate', 5.0], ['Whitney', 5.0], ['Patty Odonkor', 5.0], ['Cox', 5.0], ['Ashley London-Ghegan', 5.0], ['Kristi McCracken', 5.0], ['Emily Castillo', 5.0], ['Jeff Wilding', 4.0], ['Urska Sajovic', 5.0], ['Ivo Nestorovski', 5.0], ['Nita', 5.0], ['Samuel Lobe', 4.0], ['wayfaring stranger', 5.0], ['Chase W Russell', 5.0], ['Alexa Murdock', 5.0], ['Kerwick', 4.0], ['Ryan C.', 5.0], ['Kellie R.', 4.0]]","['sweet potatoes ', 'olive oil ', 'salt ', 'black pepper ']",https://www.yummly.com/recipe/Easy-Baked-Sweet-Potato-Fries--9029468
242,Vegan Banana Bread,5.0,70.0,31.27,250.0,310.0,8.0,3,41,"[['Savannah Leigh', 5.0], ['April H.', 5.0], ['Bartlett', 5.0], ['Nigel Salandy', 5.0], ['Holly', 5.0], ['Katie B.', 5.0], ['Radcliffe', 5.0], ['Diana', 5.0], ['Layla R.', 5.0]]","['bananas ', 'canola oil ', 'light brown sugar ', 'granulated sugar ', 'nondairy milk ', 'flaxseed meal ', 'vanilla extract ', 'all purpose flour ', 'cinnamon ', 'baking powder ', 'baking soda ', 'salt ']",https://www.yummly.com/recipe/Vegan-Banana-Bread-2684125
250,20-Minute Pesto Chicken Pizza,4.5,20.0,10.73,480.0,940.0,27.0,23,40,"[['Cara', 4.0], ['aaron gould', 4.0], ['Ventura', 5.0], ['Sahm', 5.0], ['Katherine', 5.0], ['Cienna Banwell', 5.0], ['Albertson', 5.0], ['Breeanna Carlson', 5.0], ['Josh and Catie Roberts', 5.0], ['Jennifer Hailes', 5.0], ['Taylor Sandhoefner', 5.0], ['Red Pill Apostolic', 3.0], ['Shaver', 5.0], ['Taylor Bowman', 5.0], ['Melody', 5.0], ['Desiree Martinez', 5.0], ['Clara Douglas', 5.0], ['Gemini Flamingo', 5.0], ['rezist la victoriei', 4.0], ['Lisa Michelle', 5.0], ['Btthrggt', 5.0], ['Fred Hermann', 5.0], ['Amy Zeris', 4.0], ['zach', 5.0], ['DK Union', 5.0], ['Gabe Shanahan', 5.0], ['Victoria Lynn', 4.0], ['Charlemagne Corder', 5.0], ['kristin', 5.0], ['StarFoodie', 5.0]]","['naan ', 'basil pesto ', 'shredded rotisserie chicken ', 'shredded mozzarella cheese ', 'tomatoes ']",https://www.yummly.com/recipe/20-Minute-Pesto-Chicken-Pizza-9029472
252,Sheet Pan Pizza Chicken,4.5,30.0,30.84,680.0,1420.0,34.0,79,8,"[['Brittney', 5.0], ['Dom', 4.0], ['Molly Rogers', 4.0], ['Kimm', 5.0], ['AmazingCook', 2.0], ['Daniela Neiva', 5.0], ['Katie Cummins', 4.0], ['Yvonne Washington', 5.0], ['Phil N Gabby', 4.0], ['Owens', 5.0], ['Tracy', 4.0], ['Kristin Gibson', 4.0], ['Matt G', 3.0], ['Jana Falknor', 4.0], ['Jon Federko', 4.0], ['Jacob Taylor', 4.0], ['Teryn Revels', 4.0], ['Grant Shulkin', 4.0], ['reid smithdeal', 5.0], ['Nicole D.', 5.0], ['Douglas', 4.0], ['Carleigh Broussard', 5.0], ['Michael Floyd', 5.0], ['Shayna', 5.0], ['Caylie F.', 5.0], ['Kristi M.', 5.0]]","['boneless skinless chicken breasts ', 'nonstick cooking spray ', 'marinara sauce ', 'fresh mozzarella cheese ', 'sliced pepperoni ']",https://www.yummly.com/recipe/Sheet-Pan-Pizza-Chicken-9116048
256,Twice Baked Potatoes,4.5,95.0,18.72,210.0,430.0,12.0,6,21,"[['Aphrodite M.', 5.0], ['Kasha Kinney', 5.0], ['Bruh', 5.0], ['Amber', 5.0], ['Lyndsey Adamo', 4.0], ['Jen', 3.0], ['Precious Alex Ravina Stone', 5.0], ['Luke Paradine', 5.0], ['Tiffany', 5.0], ['Hunt', 5.0], ['Asma Ghali', 5.0], ['Val Bullock', 5.0], ['Maria Acosta', 4.0], ['Jackie', 2.0], ['massiel ozuna', 5.0], ['Jamie Brimer', 5.0], ['Ro Feinen', 4.0], ['NOE BRIZUELA', 3.0], ['Ferrell', 4.0], ['Emoji Emotions', 2.0], ['Nasreen Kaur', 5.0], ['Charles Tribbey', 5.0], ['Kellie Ogle', 5.0], ['Shkoza', 5.0], ['Ștefania Sofian', 5.0], ['Tamana Bhargava', 5.0], ['Kaytee F.', 4.0], ['Chris', 3.0], ['Allison Addison', 5.0]]","['russet potatoes ', 'butter ', 'sour cream ', 'milk ', 'garlic powder ', 'salt ', 'black pepper ', 'shredded cheddar cheese ', 'paprika ']",https://www.yummly.com/recipe/Twice-Baked-Potatoes-2465554
259,Bacon and Cheese Quiche,4.5,80.0,16.69,210.0,420.0,18.0,8,2,"[['dancila', 5.0], ['Brian Hooks', 4.0], ['Nathan', 5.0], ['Kim Hand', 4.0], ['Shaun R.', 5.0], ['Rich', 5.0], ['Sofyan Hakim', 5.0]]","['frozen pie shell ', 'bacon ', 'eggs ', 'whole milk ', 'heavy cream ', 'salt ', 'black pepper ', 'shredded gouda cheese ', 'shredded cheddar cheese ']",https://www.yummly.com/recipe/Bacon-and-Cheese-Quiche-2684061
260,Banana Chocolate Chip Bread,4.0,70.0,28.39,270.0,250.0,11.0,4,41,"[['Sarai Castillo', 5.0], ['Amanda Briggs', 4.0], ['Erin Sanders', 5.0], ['toni 152', 5.0], ['Kali Love-Seckinger', 5.0], ['mahdokht davoodi', 5.0], ['sruthi vani', 4.0]]","['bananas ', 'canola oil ', 'granulated sugar ', 'light brown sugar ', 'large eggs ', 'vanilla extract ', 'all purpose flour ', 'cinnamon ', 'baking powder ', 'baking soda ', 'salt ', 'chocolate chips ']",https://www.yummly.com/recipe/Banana-Chocolate-Chip-Bread-2684116
261,Easy Garlic-Herb Baked Salmon,4.5,20.0,15.69,270.0,360.0,18.0,23,4,"[['Rian', 5.0], ['Lewis', 5.0], ['Dakota DeVine', 5.0], ['Kim Accurso', 5.0], ['Douglas', 4.0], ['White', 5.0], ['Belinda', 5.0], ['Caitlin S', 4.0], ['Karen Delacruz', 5.0], ['Aletha Carroll', 5.0], ['loann rodriguez', 5.0], ['Ashley', 5.0], ['Tori Innella', 4.0], ['Sara Rodas', 4.0], ['Luciano Cedillo', 5.0], ['Aavan', 5.0], ['Odessa', 5.0], ['kristine g.', 5.0], ['Nefititi B.', 5.0], ['Carolyn Watson', 4.0], ['Rodrigo Garcia', 5.0], ['Michael Bolt', 5.0], ['Mark Sharp', 5.0], ['Maria', 5.0], ['Trish Concepcion', 5.0], ['Ahmad Rashidi', 5.0], ['Journey', 4.0], ['Daniel Severe', 4.0], ['Thomas', 5.0]]","['salmon fillets ', 'unsalted butter ', 'salt ', 'black pepper ', 'garlic ', 'fresh rosemary ', 'lemon ']",https://www.yummly.com/recipe/Easy-Garlic-Herb-Baked-Salmon-9029448
262,Bacon Cheeseburger Mac And Cheese,4.5,58.0,42.89,570.0,1040.0,39.0,31,22,"[['Burger Bagel', 5.0], ['Sarah Weinberg', 5.0], ['W', 4.0], ['Hello, Stephanie', 5.0], ['Benjamin', 5.0], ['Akino C.', 5.0], ['Tiffany Hillyer', 3.0], ['Rodney Hammonds', 5.0], ['Rahim', 2.0], ['Ashley Stickney', 5.0], ['Jessica DeWitt', 4.0], ['Wedding', 5.0], ['User Testing Chef', 5.0], ['Siegel', 4.0], ['Sharleen', 4.0], ['Melanie Test Account', 4.0]]","['shortcut pasta ', 'bacon ', 'medium onion ', 'lean ground beef ', 'garlic powder ', 'ketchup ', 'yellow mustard ', 'salt ', 'black pepper ', 'unsalted butter ', 'allpurpose flour ', 'whole milk ', 'ground mustard ', 'paprika ', 'sharp cheddar cheese ', 'Gouda cheese ', 'American cheese ', 'ketchup ']",https://www.yummly.com/recipe/Bacon-Cheeseburger-Mac-And-Cheese-9029565
271,Easy Gluten-Free Mac And Cheese,4.5,50.0,20.24,290.0,490.0,23.0,12,8,"[['Eddie S', 5.0], ['Stephanie L.', 5.0], ['Cindy Taylor', 3.0], ['shirla anna p.', 4.0], ['roe', 3.0], ['Diana Wolf', 5.0], ['Ahoy there!!', 5.0], ['Melissa Guyre', 5.0]]","['shortcut glutenfree pasta ', 'whole milk ', 'unsalted butter ', 'salt ', 'heavy cream ', 'sharp cheddar cheese ', 'cream cheese ', 'mustard powder ', 'black pepper ']",https://www.yummly.com/recipe/Easy-Gluten-Free-Mac-And-Cheese-9029417
273,Moist And Delicious Blueberry Muffins,4.5,41.0,26.62,230.0,270.0,11.0,4,30,"[['Erika', 5.0], ['Shannon Brandow', 5.0], ['Ashlei A.', 4.0], ['Sandie Tucker', 4.0], ['Berrybuns', 4.0], ['Andrea Hakim', 4.0], ['Noelle', 4.0], ['Prongs', 5.0], ['Audrey Babyak', 5.0], ['Terry Davis', 4.0], ['Phoebe Boyd', 5.0], ['Padfoot', 5.0], ['Adam Jackson', 4.0], ['Joanne', 5.0], ['Amanda', 5.0], ['Jennifer', 5.0], ['Cam', 5.0], ['Chelsea Agababyan', 5.0], ['Matt', 4.0], ['Rutherford-Torlone', 5.0], ['Keshava Dilwali', 4.0], ['Shannon Jakel', 1.0], ['Katie Humitz', 5.0], ['Jodi McKeeman', 5.0], ['Xheni Zace', 5.0], ['Aries Parker', 4.0], ['Aicha Ouedraogo', 4.0], ['Julie Phillips', 5.0], ['Monique D.', 5.0], ['Rosemary McDowney', 5.0]]","['unsalted butter ', 'granulated sugar ', 'light brown sugar ', 'vanilla extract ', 'large eggs ', 'sour cream ', 'milk ', 'allpurpose flour ', 'baking powder ', 'baking soda ', 'salt ', 'fresh blueberries ']",https://www.yummly.com/recipe/Moist-And-Delicious-Blueberry-Muffins-9029435
281,Honey Balsamic Glazed Brussels Sprouts,4.5,30.0,16.89,130.0,240.0,4.5,5,20,"[['Cassie', 5.0], ['Bethany Musarra', 5.0], ['ESTHER J.', 5.0], ['Blake Glasbergen', 4.0], ['Tegan Steimle', 4.0], ['Terry', 5.0], ['Ete O.', 5.0], ['Heyser', 5.0], ['VH', 5.0], ['Tarik Abouzied', 4.0], ['Caty Herndon', 4.0]]","['Brussels sprouts ', 'garlic ', 'olive oil ', 'salt ', 'black pepper ', 'balsamic vinegar ', 'honey ']",https://www.yummly.com/recipe/Honey-Balsamic-Glazed-Brussels-Sprouts-2684149
282,Sausage and Cheese Egg Casserole,5.0,55.0,18.13,170.0,420.0,13.0,13,1,"[['Eva Menchaca', 5.0], ['Nicole', 5.0], ['Keenan Threadgill', 5.0], ['Steph', 5.0], ['Stephanie Bush-Kanyi', 5.0], ['Kara Haltiwanger', 5.0], ['Mark McEachern', 5.0], ['Jamila Witter', 5.0]]","['breakfast sausage ', 'eggs ', 'whole milk ', 'salt ', 'black pepper ', 'shredded cheddar cheese ']",https://www.yummly.com/recipe/Sausage-and-Cheese-Egg-Casserole-2482428
284,Extra Creamy Scalloped Potatoes,4.5,55.0,24.07,380.0,480.0,18.0,16,39,"[['Shorouq Music', 3.0], ['Jagodica Bobica', 5.0], ['MrsArmstrong', 5.0], ['Roya Lauren', 5.0], ['Lam', 5.0], ['Leah Larson', 4.0], ['Joselin Morocho', 5.0], ['Hazel Javier', 5.0], ['Essie West', 4.0], ['Carrie Gros Bourgeois', 5.0], ['Benjamin J.', 4.0], ['bymjek', 5.0], ['Mrs P', 5.0], ['Kaitlyn Nicole', 5.0], ['Lisa', 5.0], ['Jay Ander', 4.0], ['Cody Gronning', 5.0], ['Shannon Owens', 5.0], ['Jessica Camacho', 5.0], ['Krebs', 5.0], ['Diana M.', 4.0], ['Jason C.', 5.0], ['YumChef', 5.0], ['Julie Moreland Jacovec', 4.0], ['Erin', 5.0], ['Patricija Majcen', 5.0], ['Alejandro Maya', 5.0], ['Kyanne Selles', 5.0], ['Katelynn Schrader', 5.0], ['Ashley Ann-marie', 5.0]]","['yukon gold potatoes ', 'garlic ', 'butter ', 'flour ', 'whole milk ', 'heavy cream ', 'salt ', 'black pepper ', 'grated Parmesan cheese ', 'shredded cheddar ']",https://www.yummly.com/recipe/Extra-Creamy-Scalloped-Potatoes-2465546
286,Lighter Lemon Garlic Herb Baked Chicken Legs,4.5,47.0,21.14,370.0,560.0,21.0,41,2,"[['Jean McKay', 5.0], ['Mr & Mrs Hislop', 4.0], ['Melissa Fandrey', 4.0], ['Megan Oothoudt', 3.0], ['Samantha Mosier', 5.0], ['Vidya G.', 4.0]]","['nonstick cooking spray ', 'chicken drumsticks ', 'sea salt ', 'black pepper ', 'lemon ', 'garlic cloves ', 'Italian herb seasoning ']",https://www.yummly.com/recipe/Lighter-Lemon-Garlic-Herb-Baked-Chicken-Legs-9164792
289,"Super Cheesy Cauliflower ""Mac"" And Cheese",3.0,48.0,53.55,450.0,870.0,33.0,24,16,"[['Cari L.', 4.0], ['Jabari Hawkins', 5.0], ['rothrock', 5.0], ['Caleb', 4.0], ['Theresa Patton', 3.0], ['Maria Middleton', 4.0], ['Jones', 4.0], ['Murphy', 2.0], ['Michelle H.', 5.0], ['Heather', 3.0], ['Missy', 4.0], ['Nehdudh', 4.0], ['Scott Steely', 4.0]]","['cauliflower florets ', 'olive oil ', 'salt ', 'black pepper ', 'unsalted butter ', 'allpurpose flour ', 'whole milk ', 'mustard powder ', 'garlic powder ', 'salt ', 'black pepper ', 'sharp cheddar cheese ', 'Gruyere cheese ', 'grated Parmesan cheese ']",https://www.yummly.com/recipe/Super-Cheesy-Cauliflower-_Mac_-And-Cheese-9029405
292,4-Ingredient BBQ Baked Salmon,4.5,12.0,23.22,270.0,200.0,16.0,23,7,"[['Melodii Peoples', 3.0], ['Dylan Sugars', 4.0], ['Ashley Brainer', 5.0], ['Jonathan Melchor', 5.0], ['William Heydenreich', 3.0], ['Patrick S.', 4.0], ['Andria Rodríguez', 5.0], ['Dade', 4.0], ['Karen', 4.0], ['Tamy', 5.0], ['LaShunda Rice', 4.0], ['shifra', 4.0], ['PennyC86 .', 5.0], ['cal abunga', 5.0], ['Lisa-Gary Johnson', 3.0], ['R Mustang', 4.0], ['Erica', 5.0], ['Susan h.', 5.0], ['Wickham', 4.0], ['Farah', 4.0], ['irina delariarte', 4.0], ['Nick Reiff', 5.0], ['Tere Vargas', 5.0], ['Johannes Asfaw', 5.0], ['Maliea Smith', 5.0], ['KristinR.', 5.0], ['Bill', 5.0], ['MJ', 5.0], ['YumChef', 5.0], ['Christine Ayres', 4.0]]","['salmon fillets ', 'butter ', 'barbecue sauce ', 'lemon ']",https://www.yummly.com/recipe/4-Ingredient-BBQ-Baked-Salmon-9029438
