,title,rating,time,price,calories,sodium,fat,protein,carbs,personal_rating,ingredients,url
297,Coffee Cake Muffins,4.5,36.0,32.63,370.0,330.0,17.0,5,50,"[['Shanel Blye', 5.0], ['Junior Woods', 5.0], ['Sabina', 4.0], ['Lance Scott', 5.0], ['bckx', 4.0]]","['unsalted butter ', 'granulated sugar ', 'light brown sugar ', 'vanilla extract ', 'large eggs ', 'sour cream ', 'milk ', 'all purpose flour ', 'baking powder ', 'baking soda ', 'cinnamon ', 'salt ', 'unsalted butter ']",https://www.yummly.com/recipe/Coffee-Cake-Muffins-2440474
298,30-Minute Sheet Pan Chicken Caprese,4.5,32.0,44.32,530.0,1020.0,33.0,49,11,"[['Malea', 5.0], ['Castillejo', 4.0], ['Melissa bishop', 4.0], ['Tara Kowske', 5.0], ['Unique', 5.0], ['Katie', 5.0], ['Kimmmayyyy', 5.0], ['Marilyn Scott', 5.0], ['Gridiron', 5.0], ['Jen', 5.0], ['Lopez', 5.0], ['Monster', 5.0], ['Myles Pestka', 3.0], ['Elizabeth', 5.0], ['Stephanie', 5.0], ['Greg Brueckner', 4.0], ['kri0s rl', 5.0], ['Hank Hill', 4.0], ['Brent A.', 5.0], ['Gina Vacanti-Hunter', 4.0], ['Melanie', 5.0], ['Schumann', 2.0], ['Danielle Almeida', 5.0], ['Kati Brisco', 5.0], ['Casey Shea', 4.0], ['Marla G.', 5.0], ['Carla Weiler', 5.0], ['Anna', 4.0], ['Poncho', 5.0], ['Justin H.', 5.0]]","['chicken breasts ', 'salt ', 'black pepper ', 'butter ', 'Italian seasoning ', 'garlic powder ', 'large tomato ', 'fresh mozzarella cheese ', 'asparagus ', 'olive oil ', 'salt ', 'black pepper ', 'basil ', 'balsamic reduction ', 'sea salt flakes ']",https://www.yummly.com/recipe/30-Minute-Sheet-Pan-Chicken-Caprese-9029516
300,Easy Sheet Pan Chicken and Veggies,4.5,52.0,14.53,610.0,1160.0,30.0,43,41,"[['Mary Gahan', 5.0], ['aaron gould', 4.0], ['Albertson', 4.0], ['tiffany jones', 5.0], ['Katherine McCrea Izzo', 5.0], ['Jan', 5.0], ['Whitney', 4.0], ['Bourazani Popi', 4.0], ['Allison W', 5.0], ['Karen van Heiningen-Kess', 4.0]]","['olive oil ', 'dried parsley ', 'paprika ', 'garlic powder ', 'yukon gold potatoes ', 'mixed vegetables ', 'salt ', 'black pepper ', 'chicken breasts ']",https://www.yummly.com/recipe/Easy-Sheet-Pan-Chicken-and-Veggies-9029509
302,Ground Beef and Potato Gratin,4.0,75.0,27.81,300.0,680.0,17.0,19,16,"[['Rose Marie Theuma', 5.0], ['Brandi Rosales', 5.0], ['Sunita M.', 4.0], ['Maria Quezada', 5.0], ['Fred & Kristen Zitting', 2.0], ['Kaitlin Judd', 3.0]]","['nonstick cooking spray ', 'yukon gold ', 'salt ', 'black pepper ', 'nonstick cooking spray ', 'lean ground beef ', 'onion ', 'garlic ', 'dried thyme ', 'salt ', 'black pepper ', 'butter ', 'flour ', 'half and half ', 'salt ', 'black pepper ', 'shredded cheddar cheese ', 'salt ', 'black pepper ']",https://www.yummly.com/recipe/Ground-Beef-and-Potato-Gratin-9073093
306,5-Ingredient Honey-BBQ Baked Chicken Wings,4.5,65.0,31.16,510.0,610.0,30.0,40,18,"[['Amber W.', 5.0], ['Gabriel Elser', 5.0], ['Yvette Briggerman', 5.0], ['Smith', 5.0], ['Kelsey Ross', 4.0], ['Blaine Cobban', 5.0], ['Alvarez', 5.0], ['Amy Gee', 5.0], ['Shea', 5.0], ['Ann', 5.0], ['Janessa', 5.0], ['Marcus Gay', 5.0], ['Kesha', 4.0], ['Kim', 5.0], ['Lobe', 5.0], ['Abnel Avila', 5.0], ['Brittany Livingstone', 5.0], ['Bammerlin', 4.0], ['Dark Lord', 5.0], ['Latifa Martina', 5.0], ['Alexis', 5.0], ['Camille Jones', 5.0], ['Tranay Washington', 5.0], ['Bri', 5.0], ['Kurian V.', 5.0], ['Celia Beard', 5.0], ['Howard Smith', 5.0], ['Erica M.', 3.0], ['Mark Cartwright', 5.0], ['Maggie Vernier', 5.0]]","['nonstick cooking spray ', 'chicken wings ', 'salt ', 'black pepper ', 'barbecue sauce ', 'honey ']",https://www.yummly.com/recipe/5-Ingredient-Honey-BBQ-Baked-Chicken-Wings-9029543
307,Apple Pie Baked Oatmeal ,3.5,60.0,50.57,340.0,150.0,10.0,8,56,"[['luis miguel b.', 3.0], ['Amanda Reed', 4.0], ['Rina C.', 4.0], ['Mariam Sebraoui', 5.0], ['Rebeccah Lockwood', 1.0], ['Jones', 5.0], ['Jack Owens', 4.0], ['Jennifer K.', 4.0], ['Yidi Hong', 5.0]]","['rolled oats ', 'whole milk ', 'large egg ', 'butter ', 'light brown sugar ', 'maple syrup ', 'vanilla extract ', 'cinnamon ', 'nutmeg ', 'allspice ', 'clove ', 'salt ', 'baking apples ']",https://www.yummly.com/recipe/Apple-Pie-Baked-Oatmeal--9029513
308,Irish Soda Bread,4.0,2.0,22.8,310.0,440.0,7.0,8,53,"[['Carmen Cuevas de Marquez', 5.0], ['Haley Matter', 5.0], ['Robert Kelly', 3.0], ['Small', 3.0], ['Rangan', 5.0], ['Jo LeRoy', 5.0], ['Andrea Wagner', 1.0], ['Craft', 5.0]]","['flour ', 'all purpose flour ', 'granulated sugar ', 'baking soda ', 'salt ', 'butter ', 'dried currants ', 'buttermilk ', 'large egg ', 'flour ']",https://www.yummly.com/recipe/Irish-Soda-Bread-2684153
309,Lemon Sugar Cookies,4.5,25.0,26.92,310.0,250.0,13.0,3,45,"[['Michelle', 5.0], ['Anastasiia Liubimtseva', 5.0], ['Stacie Gray', 5.0], ['Brad MacBlane', 5.0], ['Natasha', 2.0], ['Beck Lincoln', 4.0]]","['granulated sugar ', 'unsalted butter ', 'egg ', 'vanilla extract ', 'fresh lemon juice ', 'lemon zest ', 'all purpose flour ', 'baking soda ', 'cream of tartar ', 'salt ']",https://www.yummly.com/recipe/Lemon-Sugar-Cookies-2376889
313,Easy And Delicious Double Chocolate Muffins,4.5,45.0,27.9,250.0,280.0,14.0,4,32,"[['Dwarfgoat101', 5.0], ['Autumn Jacek', 5.0], ['Mia McNally', 5.0], ['Khaled Almanea', 5.0], ['Supreme Commander', 5.0], ['Pam B.', 5.0], ['Padfoot', 5.0], ['Violet Winter', 4.0], ['Spot', 5.0], ['Henlo Stinky!!', 5.0], ['Cory Gonzalez', 4.0], [""Dolores O'Rourke"", 5.0], ['lakira', 5.0], ['Gamer', 5.0], ['Inara', 5.0], ['Jamie Gaines', 4.0], ['Melnyk', 5.0], ['Anna Moon', 5.0], ['Wilson Jackson', 5.0], ['Max', 4.0], ['Ronye Bodnar', 5.0], ['Stephanie Dye', 4.0], ['Scott', 5.0], ['Jean W.', 5.0], ['Bobbi C.', 5.0], ['llauraa', 5.0], ['Kamran Faruqi', 5.0], ['Kim Seidel', 5.0], ['Natalia Rik', 5.0], ['Juman S', 5.0]]","['unsalted butter ', 'granulated sugar ', 'light brown sugar ', 'vanilla extract ', 'large eggs ', 'sour cream ', 'milk ', 'allpurpose flour ', 'cocoa powder ', 'baking powder ', 'baking soda ', 'salt ', 'chocolate chips ']",https://www.yummly.com/recipe/Easy-And-Delicious-Double-Chocolate-Muffins-9029442
321,Easy Beef Lasagna,3.5,75.0,24.21,320.0,1040.0,21.0,20,12,"[['Jojo P', 4.0], ['Brian Rausch', 5.0], ['Luke Paradine', 4.0], ['James L.', 3.0], ['Silma F.', 3.0]]","['85 lean ground beef ', 'salt ', 'black pepper ', 'garlic powder ', 'Italian seasoning ', 'marinara sauce ', 'lowmoisture ricotta cheese ', 'grated Parmesan cheese ', 'egg ', 'shredded mozzarella cheese ', 'no boil lasagna ']",https://www.yummly.com/recipe/Easy-Beef-Lasagna-2684080
322,Golden Parmesan-Herb Crusted Salmon,4.5,22.0,24.75,340.0,370.0,23.0,26,6,"[['Pauline P.', 5.0], ['Laurel Mizell', 5.0], ['Veronica S.', 5.0], ['Michael Morrison', 5.0], ['Brandon Slade', 5.0], ['Fisher', 5.0], ['April Moore', 2.0], ['Whitaker', 5.0], ['Speckman', 5.0], ['Holden Massey', 4.0], ['Rebecca Wuollet', 5.0], ['KC', 5.0], ['Stephanie G.', 5.0], ['Cherish Philip', 4.0], ['Miranda and Jared Holloway', 5.0], ['Chirag Shamdasani', 5.0], ['Splajt', 5.0], ['Yun', 5.0], ['O', 4.0], ['Rachael Wonderlin', 5.0], ['Mateus Dias Ferreira', 4.0], ['Hannah Sattazahn', 5.0], ['Agnes Dumett', 4.0]]","['salmon fillets ', 'fresh parsley ', 'fresh dill ', 'fresh chives ', 'fresh thyme leaves ', 'grated Parmesan cheese ', 'fresh breadcrumbs ', 'garlic powder ', 'salt ', 'black pepper ', 'unsalted butter ', 'lemon ']",https://www.yummly.com/recipe/Golden-Parmesan-Herb-Crusted-Salmon-9029465
331,Honey-Garlic Baked Chicken Wings,4.5,50.0,26.37,570.0,1070.0,30.0,41,34,"[['Duanne P.', 5.0], ['Stuart Moore', 5.0], ['April', 5.0], ['deshaun steen', 5.0], ['Stacy V', 1.0], ['Genica Chavez', 5.0], ['Kayla', 5.0], ['Lexi', 5.0], ['Sanders', 5.0], ['Donlon', 5.0], ['Fisch', 1.0], ['Claire', 5.0], ['Dorothy T.', 5.0], ['Monty T.Freek', 4.0]]","['chicken wings ', 'honey ', 'brown sugar ', 'soy sauce ', 'garlic ']",https://www.yummly.com/recipe/Honey-Garlic-Baked-Chicken-Wings-2482415
340,Sweet and Spicy Pecans,4.5,85.0,19.18,230.0,150.0,20.0,3,13,"[['Karl', 5.0], ['Jennifer R.', 5.0], ['Jackie', 5.0], ['Christina', 4.0], ['Stacy Wright', 5.0], ['Jade', 5.0], ['Kuebler', 5.0], ['Jo LeRoy', 5.0], ['Tess', 5.0]]","['egg white ', 'water ', 'pecan halves ', 'sugar ', 'ground cumin ', 'chili powder ', 'cayenne ', 'ground cinnamon ', 'salt ']",https://www.yummly.com/recipe/Sweet-and-Spicy-Pecans-9088908
352,Crispy Oven-Fried Chicken,4.5,50.0,26.4,640.0,900.0,25.0,52,51,"[['Cosmo Goncalves', 5.0], ['Lorina Taylor', 5.0], ['Jacqueline Anderson', 3.0], ['Temitope Odunsi', 5.0], ['Stacy Orange', 4.0], ['Elsie Hoover', 4.0], ['Jellisa Joseph', 5.0]]","['buttermilk ', 'chicken drumsticks ', 'all purpose flour ', 'paprika ', 'garlic powder ', 'baking powder ', 'fine sea salt ', 'black pepper ', 'olive oil spray ', 'honey ']",https://www.yummly.com/recipe/Crispy-Oven-Fried-Chicken-9073106
354,Lemon Blueberry Bread,5.0,76.0,31.41,270.0,260.0,13.0,4,38,"[['Danielle', 5.0], ['Jazzy J', 5.0], ['rachel', 5.0], ['April', 5.0], ['Emme', 5.0], ['Andy Waller', 5.0], ['Logan Barton', 5.0]]","['unsalted butter ', 'granulated sugar ', 'vanilla extract ', 'large eggs ', 'sour cream ', 'lemon juice ', 'lemons ', 'all purpose flour ', 'baking powder ', 'baking soda ', 'salt ', 'fresh blueberries ']",https://www.yummly.com/recipe/Lemon-Blueberry-Bread-2684123
356,Best-Ever Broccoli Cheese Soup,4.5,30.0,31.01,310.0,890.0,20.0,17,17,"[['KokoDee', 5.0], ['David Mccarthy', 5.0], ['Eraneisha G.', 5.0], ['Audrey U.', 5.0], ['Falzon', 4.0], ['Jacky Tjoanda', 5.0], ['Heyits Rae', 5.0], ['Jewell Dunlap Juergensen', 5.0], ['Richard Siemiatkoski', 5.0], ['Lisa S.', 5.0], ['Goold', 5.0], ['Yummly User', 5.0], ['Towanda J.', 5.0], ['Pam S.', 5.0], ['Tatia Wilson', 5.0], ['Denise', 5.0], ['toni 152', 5.0], ['Alexandre Daigle Paquette', 5.0], ['Nicole Corzine', 5.0], ['Cigar Hooligan', 5.0], ['Logan', 5.0], ['John Morris', 5.0], ['Morgan Rooney', 4.0], ['Jeffrey Crouch', 5.0], ['Tiago Mindrico', 5.0], ['Jamie Livingston', 5.0], ['Janey Rasco', 5.0], ['Cindy Lewis', 5.0], ['Vanessa Castano', 5.0], ['Michele Cerda', 5.0]]","['onion ', 'large carrots ', 'celery ', 'garlic ', 'broccoli florets ', 'salted butter ', 'salt ', 'Dijon mustard ', 'all purpose flour ', 'chicken broth ', 'whole milk ', 'salt ', 'black pepper ', 'shredded cheddar cheese ', 'fresh parsley ', 'salt ', 'freshly ground black pepper ']",https://www.yummly.com/recipe/Best-Ever-Broccoli-Cheese-Soup-9101940
362,Brown Sugar Glazed Pork Chops,4.5,25.0,20.38,440.0,670.0,36.0,18,9,"[['Rogers-Walker', 4.0], ['Lily Ortiz', 5.0], ['Nikki', 5.0], ['K Ad', 5.0], ['Corie Lynn', 4.0], ['R', 5.0], ['Kat', 4.0], ['Colin Weir', 4.0], ['Heidi Crosgrove-Trobaugh', 3.0], ['kim', 5.0], ['Life Is Cake 👌', 5.0], ['ida', 3.0], ['Tina martin tina', 4.0], ['Magagula', 4.0], ['Limbocker', 5.0], ['Brandi Burge', 5.0], ['Melissa Craig', 5.0]]","['bonein pork chops ', 'salt ', 'black pepper ', 'olive oil ', 'butter ', 'brown sugar ', 'Dijon mustard ', 'cinnamon ', 'cayenne ']",https://www.yummly.com/recipe/Brown-Sugar-Glazed-Pork-Chops-2465563
364,Perfect Soft and Chewy Vegan Sugar Cookies,4.5,25.0,20.93,280.0,240.0,11.0,3,41,"[['Leandria L.', 5.0], ['ZebraZ', 4.0], ['Joshua Schoonmaker', 4.0], ['June tracy', 5.0], ['Astha', 3.0], ['Aleycia Dawn', 5.0], ['Isabella Carey', 5.0], ['Elizabeth Gysi', 5.0], ['aj', 4.0], ['Natalie', 5.0], ['tabasco', 4.0], ['SarahMorgan', 4.0]]","['canola oil ', 'granulated sugar ', 'brown rice syrup ', 'almond milk ', 'vanilla extract ', 'almond extract ', 'allpurpose flour ', 'baking powder ', 'baking soda ', 'salt ']",https://www.yummly.com/recipe/Perfect-Soft-and-Chewy-Vegan-Sugar-Cookies-9029536
370,Za'atar-Roasted Cauliflower Steaks with Bean Salad,4.5,30.0,24.75,200.0,740.0,19.0,3,6,"[['Teresa M.', 5.0], ['Bryan Reese', 4.0], ['cheryl k.', 5.0], ['Venhuda', 5.0], ['Micah', 4.0]]","['cauliflower head ', 'ground sumac ', 'black pepper ', 'dried thyme ', 'dried oregano ', 'sesame seeds ', 'fine sea salt ', 'extravirgin olive oil ', 'cannellini beans ', 'cherry tomatoes ', 'kalamata olives ', 'fresh parsley ', 'extra virgin olive oil ', 'red wine vinegar ', 'fine sea salt ', 'black pepper ']",https://www.yummly.com/recipe/Za_atar-Roasted-Cauliflower-Steaks-with-Bean-Salad-9145178
371,5-Ingredient Pound Cake,4.5,92.0,13.14,290.0,160.0,17.0,4,31,"[['Ava Higginbotham', 1.0], ['MarvelousCulinaire', 5.0], [""Jode'A H."", 2.0], ['Madi Gale', 4.0], ['Noluthando Masora', 3.0], ['PushingHeaven', 4.0], ['jessica quaynor', 3.0], ['ercan', 5.0], ['Kinley F.', 4.0], ['Michael Duda', 3.0], ['Khaled S.', 4.0], ['Veronica Talwar', 5.0], ['Anna Meyer', 3.0], ['Kamo', 4.0], ['mmm a', 5.0], ['Julia', 5.0], ['Siobhan McDonagh', 5.0], ['Benita R.', 5.0], ['Dee', 4.0], ['Funmi', 5.0], ['Paul Head', 4.0], ['Gymnastics', 4.0], ['Diane Pickett', 5.0], ['Marlene Moye', 4.0], ['Megan', 2.0], ['Johanna S.', 5.0], ['Sara Abedin', 5.0], ['Robert Kelly', 4.0], ['Edison', 5.0], ['Richard B', 4.0]]","['nonstick cooking spray ', 'salted butter ', 'granulated sugar ', 'large eggs ', 'all purpose flour ', 'baking powder ']",https://www.yummly.com/recipe/5-Ingredient-Pound-Cake-2465588
376,Melt-In-Your-Mouth Baked Chicken Breasts,4.5,37.0,24.51,300.0,430.0,14.0,38,1,"[['Grim', 5.0], ['Aidan', 5.0], ['Ipek Özer', 5.0], ['William Skinner', 5.0], ['Anu Saha', 5.0], ['Kathleen H.', 4.0], ['Shannon MacIntyre', 5.0], ['Isabelle Q.', 5.0], ['Sondra Lyles', 5.0], ['Jill S.', 5.0], ['Lunar Goddess', 4.0], ['Malea', 2.0], ['Sierra McNamee', 5.0], ['Barb Achenbach Stehman', 5.0], ['Choi', 5.0], ['Angie', 5.0], ['Jamielynn Selner', 3.0], ['Laureen D.', 5.0], ['Peter', 5.0], ['Leah', 5.0], ['Tanyka Jacobsen', 5.0], ['Alane F.', 5.0], ['Jenni Langemeier', 4.0], ['Angie Carnaghi-Monday', 4.0], ['Jamie Cook', 4.0], ['Lauren AW', 4.0], ['yellow _sailboat1', 4.0], ['Sheri Schenk', 3.0], ['Christie N.', 4.0], ['Lettie Polkoski', 3.0]]","['nonstick cooking spray ', 'boneless skinless chicken breasts ', 'salt ', 'black pepper ', 'garlic powder ', 'mayonnaise ', 'plain greek yogurt ', 'shredded Parmesan cheese ']",https://www.yummly.com/recipe/Melt-In-Your-Mouth-Baked-Chicken-Breasts-9073095
381,Crispy Herb-Roasted Potatoes,4.5,45.0,18.95,130.0,240.0,4.0,3,22,"[['Jennifer', 5.0], ['Janet', 5.0], ['Michele', 5.0], ['Akiva Levine', 5.0], ['Danielle Tollefson', 5.0], ['Chef JT', 5.0], ['Paulina', 5.0], ['lucy take', 5.0], ['Jenn Mc', 4.0], ['Eunice I', 5.0], ['Heidi Welte', 5.0], ['Chaz McGutter', 5.0], ['Paula Haney', 5.0], ['Forbes', 5.0], ['aaron gould', 5.0], ['Robert Kelly', 5.0], ['Sabrina Braddy', 5.0], ['Edison', 5.0], ['Evie Gibbs', 5.0], ['Althoff', 4.0], ['Ashanti Leid', 3.0], ['Valeria Garcia', 5.0], ['Ashleigh Lockwood', 5.0], ['Ethan Schmidt', 5.0], ['Justin Dale', 4.0], ['Jaye Hubarth', 4.0], ['Ophelia', 4.0], ['Sky P', 5.0], ['Christy Kennedy', 5.0]]","['nonstick cooking spray ', 'baby red potatoes ', 'olive oil ', 'rosemary leaves ', 'salt ', 'black pepper ', 'rosemary sprigs ']",https://www.yummly.com/recipe/Crispy-Herb-Roasted-Potatoes-9083689
384,Easy Sweet Potatoes Au Gratin,5.0,50.0,20.89,320.0,340.0,23.0,7,23,"[['Giorgio Gk', 5.0], ['de Vlugt', 5.0], ['Latavia S.', 5.0], ['m', 5.0], ['Christina Lisk', 5.0], ['Gauri', 5.0], ['Allen', 5.0], ['Soph', 5.0]]","['sweet potatoes ', 'salt ', 'black pepper ', 'heavy cream ', 'fresh thyme ', 'nutmeg ', 'grated Parmesan cheese ', 'grated Gruyere cheese ']",https://www.yummly.com/recipe/Easy-Sweet-Potatoes-Au-Gratin-2465576
387,Savory Keto Breakfast Cookies,4.5,23.0,18.86,160.0,280.0,14.0,8,4,"[['Olinda Haywood', 4.0], ['Lu', 5.0], ['Kam Purswani', 4.0], ['Liberty', 5.0], ['Full of Joy', 5.0], ['Iulius Raven', 5.0], ['Matthew Strauss', 5.0], ['Deborah Serrano', 4.0]]","['almond flour ', 'large eggs ', 'cheddar cheese ', 'baking powder ', 'salt ', 'black pepper ', 'scallion ', 'bacon ']",https://www.yummly.com/recipe/Savory-Keto-Breakfast-Cookies-9085184
388,Sweet and Salty Candied Bacon,4.5,28.0,24.93,300.0,480.0,26.0,7,11,"[['Carol C.', 5.0], ['Carlson', 5.0], ['Josh', 5.0], ['Amber Ray', 1.0], ['Avishai #TeamTeodosio', 4.0], ['Roger Kerse', 2.0], ['Elias Hardt', 5.0], ['claire', 5.0], ['Shan', 5.0], ['Bob Johndrow', 5.0], ['Neysa Younger', 4.0], ['Brenda J.', 5.0], ['Eden Klinger', 5.0], ['Stokes', 2.0]]","['bacon ', 'brown sugar ', 'maple syrup ', 'black pepper ', 'cayenne pepper ']",https://www.yummly.com/recipe/Sweet-and-Salty-Candied-Bacon-9029436
392,Sheet Pan Honey Mustard Pork Chops with Roasted Veggies,3.5,37.0,45.35,440.0,1480.0,13.0,53,30,"[['Nancy Dafoe', 5.0], ['Ana Ramos', 5.0], ['non ur bisnes', 3.0], ['Michael Goodfellow', 4.0], ['Arora L.', 3.0], ['Gh', 3.0], ['Al Wong', 4.0], ['Gail', 5.0], ['Denise', 3.0]]","['yellow mustard ', 'honey ', 'onion powder ', 'garlic powder ', 'brussels sprouts ', 'medium carrot ', 'olive oil ', 'salt ', 'black pepper ', 'pork loin chops ', 'nonstick cooking spray ']",https://www.yummly.com/recipe/Sheet-Pan-Honey-Mustard-Pork-Chops-with-Roasted-Veggies-9029414
393,Vegan Spinach Lasagna,4.5,75.0,27.61,290.0,700.0,16.0,20,23,"[['kitty martinez', 5.0], ['aaron gould', 5.0], ['Adriana I.', 5.0], ['Bryan Reese', 4.0], ['jul', 4.0], ['Micayla cannon', 5.0], ['Mikka', 4.0], ['Shauntay White', 5.0], ['tiffany madison', 5.0], ['Milius', 5.0], ['Deena Eberhart', 5.0], ['Alex', 5.0], ['hlmg', 4.0], ['Tim Hatcher', 5.0]]","['firm tofu ', 'olive oil ', 'lemon ', 'nutritional yeast ', 'salt ', 'black pepper ', 'garlic powder ', 'Italian seasoning ', 'no boil lasagna ', 'marinara sauce ', 'frozen spinach ']",https://www.yummly.com/recipe/Vegan-Spinach-Lasagna-2684091
409,Italian Sausage-Stuffed Mushrooms,4.0,38.0,16.58,360.0,780.0,27.0,16,14,"[['Michael T.', 5.0], [""Garza O'Shaughnessy"", 3.0], ['Kenneth Rausch', 4.0], ['Kelly Simpson', 3.0], ['Taylor-Blunt', 4.0], ['Agnes Dumett', 5.0]]","['cremini mushrooms ', 'cream cheese ', 'grated Parmesan cheese ', 'panko breadcrumbs ', 'dried parsley ', 'dried thyme ', 'salt ', 'black pepper ', 'shallots ', 'italian sausage ']",https://www.yummly.com/recipe/Italian-Sausage-Stuffed-Mushrooms-9029494
412,Vegetarian Bean and Cheese Taco Casserole,4.5,34.0,31.47,290.0,770.0,14.0,18,27,"[['Kimberly Beasley', 5.0], ['leah g.', 3.0], ['Raven B.', 4.0], ['Lucas Silva', 5.0], ['Charlotte Rossion', 5.0], ['Erica', 5.0]]","['nonstick cooking spray ', 'canned black beans ', 'pinto beans ', 'red kidney beans ', 'corn kernels ', 'scallions ', 'bell pepper ', 'prepared salsa ', 'cumin ', 'chili powder ', 'dried oregano ', 'garlic powder ', 'salt ', 'tortilla chips ', 'shredded pepper jack cheese ', 'shredded cheddar cheese ', 'sour cream ', 'avocado ']",https://www.yummly.com/recipe/Vegetarian-Bean-and-Cheese-Taco-Casserole-9085185
421,Easy Honey-Mustard Chicken Thighs,4.5,30.0,19.6,310.0,500.0,8.0,39,19,"[['Yazc', 5.0], ['7ae19c22-1c55-4c7a-8781-4c9d828c62f2', 5.0], ['Heide White', 4.0], ['Modestas Markevičius', 5.0], ['John Stevens', 3.0], ['Dana P.', 5.0], ['Etienne Hajee', 5.0], ['Daquon Williams', 5.0], ['Jiahui Wang', 5.0], ['Jennifer Whalley', 5.0], ['Al Burman', 5.0], ['Amanda S.', 5.0], ['Danielle W.', 4.0], ['Hajni M.', 5.0], ['pawley', 5.0], ['Ellen', 5.0], ['Monica', 4.0], ['Maya', 4.0], ['Austin Lounds', 4.0], ['Jen', 4.0]]","['cooking spray ', 'whole grain mustard ', 'honey ', 'garlic powder ', 'salt ', 'boneless skinless chicken thighs ']",https://www.yummly.com/recipe/Easy-Honey-Mustard-Chicken-Thighs-9029460
425,Garlic Roasted Broccoli,4.5,30.0,7.47,130.0,440.0,9.0,5,11,"[['Rebeca Pereira', 5.0], ['Lily', 4.0], ['JW008', 4.0], ['Ayesha Searcy', 5.0], ['Sheri-Lynn G.', 5.0], ['Mike Scheeler', 4.0], ['Leah', 5.0], ['Angela Higgs', 5.0], ['Vicki', 5.0], ['Sasha Bowman', 5.0], ['imprudent01 .', 4.0], ['Lindsey Nance', 4.0], ['Danielle W.', 5.0], ['Jeff', 5.0], ['Xhuliano Taka', 5.0], ['John Brooks', 5.0], ['Ali Olafsson', 5.0], ['Kevin Shute', 4.0], ['Julie', 4.0], ['Georgina V.', 5.0], ['Naresh Kamath', 5.0], ['Cipollate Cafe', 5.0], ['Michael Bates', 4.0], ['Justin Chan', 3.0], ['Cooper Noack', 4.0], ['Liz Haddox', 3.0], ['Steve', 4.0], ['Sarah Torres', 5.0], ['Venter', 4.0], ['LeeAnn Bryant', 5.0]]","['broccoli florets ', 'olive oil ', 'salt ', 'black pepper ', 'garlic ']",https://www.yummly.com/recipe/Garlic-Roasted-Broccoli-2684142
434,Crispy Panko-Parmesan Chicken Breasts,4.5,28.0,17.16,310.0,340.0,16.0,28,11,"[['Jennell Marie', 5.0], ['LaGree', 3.0], ['Jacqueline Truax', 4.0], ['Yusuf Nasir', 5.0], ['Scott Harding', 3.0], ['Anita', 4.0], ['Jazmyne Johnson', 5.0], ['Bortz', 5.0], ['86d1fa17-1974-4695-973a-36badbb3e65b', 5.0], ['Campbell', 4.0], ['Rhianne M', 4.0], ['Persia King', 4.0], ['Lindy N.', 5.0], ['Rob Cress', 3.0], ['Jaye Hubarth', 4.0], ['Oberlies', 5.0], ['Olivia Wells', 4.0], ['Eric Miller', 5.0], ['Vicky Grant', 4.0], ['Gridiron', 4.0], ['Taelor', 5.0], ['Tammi L.', 4.0], ['Matt C', 4.0], ['Paul V.', 3.0], ['Zlata', 5.0], ['Cheyanne Cruz', 4.0], ['Bethany Her', 5.0], ['Natalie Whyte', 5.0], ['Hshshs', 4.0], ['Sarah Neipp', 5.0]]","['chicken breasts ', 'panko breadcrumbs ', 'shredded Parmesan cheese ', 'dried parsley ', 'salt ', 'Dijon mustard ', 'mayonnaise ']",https://www.yummly.com/recipe/Crispy-Panko-Parmesan-Chicken-Breasts-9029452
